X,Y,Z,Anomalia_Bouguer_mGal,Error_Est
557000.00000,7133300.00000,430.25950,-0.21519,0.00000
557020.00000,7133300.00000,430.25950,-0.23735,0.00000
557040.00000,7133300.00000,428.88200,-0.26066,0.00000
557060.00000,7133300.00000,427.75490,-0.28578,0.00000
557080.00000,7133300.00000,427.09970,-0.31251,0.00000
557100.00000,7133300.00000,426.85860,-0.34027,0.00000
557120.00000,7133300.00000,426.85860,-0.36814,0.00000
557140.00000,7133300.00000,426.85470,-0.39497,0.00000
557160.00000,7133300.00000,426.92090,-0.41951,0.00000
557180.00000,7133300.00000,426.98240,-0.44043,0.00000
557200.00000,7133300.00000,426.98240,-0.45643,0.00000
557220.00000,7133300.00000,427.00870,-0.46654,0.00000
557240.00000,7133300.00000,427.03190,-0.47011,0.00000
557260.00000,7133300.00000,427.05120,-0.46697,0.00000
557280.00000,7133300.00000,427.05120,-0.45750,0.00000
557300.00000,7133300.00000,427.03890,-0.44253,0.00000
557320.00000,7133300.00000,426.92810,-0.42312,0.00000
557340.00000,7133300.00000,426.70830,-0.40055,0.00000
557360.00000,7133300.00000,426.70830,-0.37628,0.00000
557380.00000,7133300.00000,426.46720,-0.35104,0.00000
557400.00000,7133300.00000,426.38940,-0.32597,0.00000
557420.00000,7133300.00000,426.60400,-0.30179,0.00000
557440.00000,7133300.00000,426.60400,-0.27844,0.00000
557460.00000,7133300.00000,427.11080,-0.25674,0.00000
557480.00000,7133300.00000,427.81630,-0.23654,0.00000
557500.00000,7133300.00000,428.59500,-0.21773,0.00000
557520.00000,7133300.00000,428.59500,-0.19966,0.00000
557540.00000,7133300.00000,429.32650,-0.18347,0.00000
557560.00000,7133300.00000,429.97110,-0.16845,0.00000
557580.00000,7133300.00000,430.52610,-0.15457,0.00000
557600.00000,7133300.00000,430.52610,-0.14148,0.00000
557000.00000,7133320.00000,429.83470,-0.23556,0.00000
557020.00000,7133320.00000,429.83470,-0.26177,0.00000
557040.00000,7133320.00000,428.55140,-0.28997,0.00000
557060.00000,7133320.00000,427.55040,-0.32086,0.00000
557080.00000,7133320.00000,427.00130,-0.35423,0.00000
557100.00000,7133320.00000,426.81560,-0.38939,0.00000
557120.00000,7133320.00000,426.81560,-0.42524,0.00000
557140.00000,7133320.00000,426.84500,-0.46029,0.00000
557160.00000,7133320.00000,426.92240,-0.49277,0.00000
557180.00000,7133320.00000,426.98360,-0.52075,0.00000
557200.00000,7133320.00000,426.98360,-0.54236,0.00000
557220.00000,7133320.00000,427.00470,-0.55608,0.00000
557240.00000,7133320.00000,427.01280,-0.56091,0.00000
557260.00000,7133320.00000,427.02550,-0.55655,0.00000
557280.00000,7133320.00000,427.02550,-0.54353,0.00000
557300.00000,7133320.00000,427.02690,-0.52310,0.00000
557320.00000,7133320.00000,426.98190,-0.49700,0.00000
557340.00000,7133320.00000,426.86370,-0.46713,0.00000
557360.00000,7133320.00000,426.86370,-0.43543,0.00000
557380.00000,7133320.00000,426.70550,-0.40319,0.00000
557400.00000,7133320.00000,426.65090,-0.37167,0.00000
557420.00000,7133320.00000,426.83920,-0.34168,0.00000
557440.00000,7133320.00000,426.83920,-0.31323,0.00000
557460.00000,7133320.00000,427.33310,-0.28709,0.00000
557480.00000,7133320.00000,428.05600,-0.26303,0.00000
557500.00000,7133320.00000,428.86610,-0.24087,0.00000
557520.00000,7133320.00000,428.86610,-0.21980,0.00000
557540.00000,7133320.00000,429.65260,-0.20104,0.00000
557560.00000,7133320.00000,430.33810,-0.18376,0.00000
557580.00000,7133320.00000,430.93440,-0.16789,0.00000
557600.00000,7133320.00000,430.93440,-0.15302,0.00000
557000.00000,7133340.00000,429.52830,-0.25720,0.00000
557020.00000,7133340.00000,429.52830,-0.28807,0.00000
557040.00000,7133340.00000,428.30190,-0.32201,0.00000
557060.00000,7133340.00000,427.40460,-0.35988,0.00000
557080.00000,7133340.00000,426.92190,-0.40147,0.00000
557100.00000,7133340.00000,426.79980,-0.44610,0.00000
557120.00000,7133340.00000,426.79980,-0.49242,0.00000
557140.00000,7133340.00000,426.86120,-0.53853,0.00000
557160.00000,7133340.00000,426.94130,-0.58188,0.00000
