X,Y,Z,TMI_nT,Error_Est
83.80000,25.40000,60308.00000,nan,nan
83.80000,25.40000,1.00000,nan,nan
557000.00000,7133300.00000,445.25950,-0.25653,1.00000
557020.00000,7133300.00000,445.25950,-1.04478,1.00000
557040.00000,7133300.00000,443.88200,-0.08379,1.00000
557060.00000,7133300.00000,442.75490,-0.59077,1.00000
557080.00000,7133300.00000,442.09970,0.30605,1.00000
557100.00000,7133300.00000,441.85860,0.04138,1.00000
557120.00000,7133300.00000,441.85860,-0.64764,1.00000
557140.00000,7133300.00000,441.85470,1.04290,1.00000
557160.00000,7133300.00000,441.92090,1.29134,1.00000
557180.00000,7133300.00000,441.98240,3.31178,1.00000
557200.00000,7133300.00000,441.98240,3.45452,1.00000
557220.00000,7133300.00000,442.00870,3.44813,1.00000
557240.00000,7133300.00000,442.03190,3.35812,1.00000
557260.00000,7133300.00000,442.05120,2.74485,1.00000
557280.00000,7133300.00000,442.05120,2.15329,1.00000
557300.00000,7133300.00000,442.03890,1.65862,1.00000
557320.00000,7133300.00000,441.92810,1.23913,1.00000
557340.00000,7133300.00000,441.70830,-1.09178,1.00000
557360.00000,7133300.00000,441.70830,-0.15045,1.00000
557380.00000,7133300.00000,441.46720,-0.91177,1.00000
557400.00000,7133300.00000,441.38940,-2.15409,1.00000
557420.00000,7133300.00000,441.60400,-2.04325,1.00000
557440.00000,7133300.00000,441.60400,-3.53769,1.00000
557460.00000,7133300.00000,442.11080,-2.08667,1.00000
557480.00000,7133300.00000,442.81630,-1.83739,1.00000
557500.00000,7133300.00000,443.59500,-5.58210,1.00000
557520.00000,7133300.00000,443.59500,-2.19227,1.00000
557540.00000,7133300.00000,444.32650,-2.80172,1.00000
557560.00000,7133300.00000,444.97110,-3.71388,1.00000
557580.00000,7133300.00000,445.52610,-4.13726,1.00000
557600.00000,7133300.00000,445.52610,-3.50963,1.00000
557000.00000,7133320.00000,444.83470,-1.91369,1.00000
557020.00000,7133320.00000,444.83470,1.14534,1.00000
557040.00000,7133320.00000,443.55140,-0.81033,1.00000
557060.00000,7133320.00000,442.55040,0.30416,1.00000
557080.00000,7133320.00000,442.00130,3.12835,1.00000
557100.00000,7133320.00000,441.81560,4.00800,1.00000
557120.00000,7133320.00000,441.81560,2.86215,1.00000
557140.00000,7133320.00000,441.84500,6.35835,1.00000
557160.00000,7133320.00000,441.92240,4.25168,1.00000
557180.00000,7133320.00000,441.98360,4.76581,1.00000
557200.00000,7133320.00000,441.98360,5.59936,1.00000
557220.00000,7133320.00000,442.00470,5.50695,1.00000
557240.00000,7133320.00000,442.01280,8.06811,1.00000
557260.00000,7133320.00000,442.02550,4.76770,1.00000
557280.00000,7133320.00000,442.02550,3.26319,1.00000
557300.00000,7133320.00000,442.02690,4.16287,1.00000
557320.00000,7133320.00000,441.98190,4.16004,1.00000
557340.00000,7133320.00000,441.86370,1.22006,1.00000
557360.00000,7133320.00000,441.86370,0.99980,1.00000
557380.00000,7133320.00000,441.70550,-0.38773,1.00000
557400.00000,7133320.00000,441.65090,-1.80937,1.00000
557420.00000,7133320.00000,441.83920,-2.72998,1.00000
557440.00000,7133320.00000,441.83920,-3.05511,1.00000
557460.00000,7133320.00000,442.33310,-3.85944,1.00000
557480.00000,7133320.00000,443.05600,-3.95707,1.00000
557500.00000,7133320.00000,443.86610,-2.56107,1.00000
557520.00000,7133320.00000,443.86610,-3.95215,1.00000
557540.00000,7133320.00000,444.65260,-3.20074,1.00000
557560.00000,7133320.00000,445.33810,-1.98015,1.00000
557580.00000,7133320.00000,445.93440,-2.77417,1.00000
557600.00000,7133320.00000,445.93440,-2.54585,1.00000
557000.00000,7133340.00000,444.52830,-1.37413,1.00000
557020.00000,7133340.00000,444.52830,-0.73654,1.00000
557040.00000,7133340.00000,443.30190,1.59858,1.00000
557060.00000,7133340.00000,442.40460,1.55391,1.00000
557080.00000,7133340.00000,441.92190,3.54075,1.00000
557100.00000,7133340.00000,441.79980,4.10407,1.00000
557120.00000,7133340.00000,441.79980,4.83605,1.00000
557140.00000,7133340.00000,441.86120,6.43663,1.00000
557160.00000,7133340.00000,441.94130,8.43478,1.00000
557180.00000,7133340.00000,441.99210,8.97556,1.00000
557200.00000,7133340.00000,441.99210,9.50004,1.00000
557220.00000,7133340.00000,442.00540,9.31751,1.00000
557240.00000,7133340.00000,442.00590,10.03822,1.00000
557260.00000,7133340.00000,442.00940,7.63539,1.00000
557280.00000,7133340.00000,442.00940,8.41989,1.00000
557300.00000,7133340.00000,442.01220,5.74518,1.00000
557320.00000,7133340.00000,441.98970,5.55296,1.00000
557340.00000,7133340.00000,441.93140,2.35228,1.00000
557360.00000,7133340.00000,441.93140,1.54493,1.00000
557380.00000,7133340.00000,441.86120,-0.46876,1.00000
557400.00000,7133340.00000,441.86780,-0.03763,1.00000
557420.00000,7133340.00000,442.07130,-0.09817,1.00000
557440.00000,7133340.00000,442.07130,-2.21553,1.00000
557460.00000,7133340.00000,442.54400,-1.55505,1.00000
557480.00000,7133340.00000,443.25510,-3.58341,1.00000
557500.00000,7133340.00000,444.09220,-2.66318,1.00000
557520.00000,7133340.00000,444.09220,-2.27155,1.00000
557540.00000,7133340.00000,444.93450,-3.62968,1.00000
557560.00000,7133340.00000,445.68460,-1.54403,1.00000
557580.00000,7133340.00000,446.33380,-5.00079,1.00000
557600.00000,7133340.00000,446.33380,-3.63445,1.00000
557000.00000,7133360.00000,444.37800,-0.62460,1.00000
557020.00000,7133360.00000,444.37800,0.20155,1.00000
557040.00000,7133360.00000,443.14820,0.72617,1.00000
557060.00000,7133360.00000,442.28150,0.72860,1.00000
557080.00000,7133360.00000,441.86950,4.27215,1.00000
557100.00000,7133360.00000,441.78550,5.14493,1.00000
557120.00000,7133360.00000,441.78550,6.52443,1.00000
557140.00000,7133360.00000,441.86630,9.27449,1.00000
557160.00000,7133360.00000,441.95760,11.65055,1.00000
557180.00000,7133360.00000,441.99820,14.98330,1.00000
557200.00000,7133360.00000,441.99820,15.53126,1.00000
557220.00000,7133360.00000,442.00900,17.51972,1.00000
557240.00000,7133360.00000,442.00590,16.42453,1.00000
557260.00000,7133360.00000,442.00830,17.38078,1.00000
557280.00000,7133360.00000,442.00830,14.61437,1.00000
557300.00000,7133360.00000,442.00640,10.38159,1.00000
557320.00000,7133360.00000,441.98800,9.44767,1.00000
557340.00000,7133360.00000,441.94600,5.97107,1.00000
557360.00000,7133360.00000,441.94600,3.37653,1.00000
557380.00000,7133360.00000,441.91700,1.65005,1.00000
557400.00000,7133360.00000,441.98400,-0.40558,1.00000
557420.00000,7133360.00000,442.23040,0.07230,1.00000
557440.00000,7133360.00000,442.23040,-1.98840,1.00000
557460.00000,7133360.00000,442.71160,-2.86118,1.00000
