X,Y,Z,TMI_nT,Std_nT
509.00000,42958.00000,40.00000,42.90000,5.85800
504.00000,42858.00000,40.00000,88.32000,6.76640
499.30000,42758.00000,40.00000,86.11000,6.72220
498.10000,42658.00000,40.00000,56.31000,6.12620
498.60000,42558.00000,40.00000,21.71000,5.43420
500.80000,42458.00000,40.00000,5.00000,5.10000
503.00000,42358.00000,40.00000,5.56000,5.11120
505.20000,42258.00000,40.00000,2.07000,5.04140
508.00000,42158.00000,40.00000,0.20000,5.00400
510.90000,42058.00000,40.00000,-0.09000,5.00180
514.80000,41958.00000,40.00000,-0.43000,5.00860
517.00000,41858.00000,40.00000,-3.99000,5.07980
517.00000,41758.00000,40.00000,-7.40000,5.14800
516.00000,41658.00000,40.00000,-10.03000,5.20060
514.80000,41558.00000,40.00000,-11.79000,5.23580
511.10000,41458.00000,40.00000,-12.08000,5.24160
507.30000,41358.00000,40.00000,-10.47000,5.20940
505.10000,41258.00000,40.00000,-1.39000,5.02780
503.00000,41159.00000,40.00000,8.58000,5.17160
503.00000,41059.00000,40.00000,4.46000,5.08920
500.80000,40959.00000,40.00000,90.64000,6.81280
498.50000,40859.00000,40.00000,196.33000,8.92660
497.20000,40759.00000,40.00000,269.79000,10.39580
496.60000,40659.00000,40.00000,324.00000,11.48000
496.70000,40559.00000,40.00000,372.46000,12.44920
497.30000,40459.00000,40.00000,428.64000,13.57280
498.30000,40359.00000,40.00000,506.04000,15.12080
499.60000,40259.00000,40.00000,618.15000,17.36300
501.20000,40159.00000,40.00000,782.43000,20.64860
504.60000,40059.00000,40.00000,997.45000,24.94900
564.00000,40041.00000,40.00000,1058.20000,26.16400
564.80000,40141.00000,40.00000,916.06000,23.32120
568.50000,40241.00000,40.00000,708.36000,19.16720
573.50000,40341.00000,40.00000,514.91000,15.29820
578.70000,40440.00000,40.00000,353.90000,12.07800
579.00000,40540.00000,40.00000,224.98000,9.49960
579.00000,40640.00000,40.00000,146.29000,7.92580
579.40000,40740.00000,40.00000,92.25000,6.84500
581.50000,40840.00000,40.00000,56.73000,6.13460
583.50000,40940.00000,40.00000,40.04000,5.80080
589.30000,41040.00000,40.00000,37.83000,5.75660
597.00000,41140.00000,40.00000,16.80000,5.33600
607.60000,41239.00000,40.00000,14.11000,5.28220
619.00000,41339.00000,40.00000,1.79000,5.03580
628.00000,41438.00000,40.00000,-3.74000,5.07480
632.60000,41538.00000,40.00000,-7.05000,5.14100
634.00000,41638.00000,40.00000,-6.29000,5.12580
631.90000,41738.00000,40.00000,-6.25000,5.12500
630.50000,41838.00000,40.00000,-4.81000,5.09620
626.10000,41938.00000,40.00000,-2.62000,5.05240
620.30000,42038.00000,40.00000,0.39000,5.00780
615.40000,42138.00000,40.00000,-1.54000,5.03080
611.80000,42238.00000,40.00000,-0.04000,5.00080
608.90000,42337.00000,40.00000,3.70000,5.07400
606.10000,42437.00000,40.00000,8.86000,5.17720
603.60000,42537.00000,40.00000,18.64000,5.37280
598.10000,42637.00000,40.00000,31.94000,5.63880
590.90000,42737.00000,40.00000,77.24000,6.54480
585.70000,42837.00000,40.00000,146.95000,7.93900
581.70000,42937.00000,40.00000,150.93000,8.01860
651.00000,42958.00000,40.00000,80.90000,6.61800
654.90000,42858.00000,40.00000,114.99000,7.29980
662.50000,42758.00000,40.00000,87.14000,6.74280
671.60000,42659.00000,40.00000,45.74000,5.91480
679.10000,42559.00000,40.00000,28.57000,5.57140
686.50000,42459.00000,40.00000,12.97000,5.25940
693.00000,42359.00000,40.00000,6.72000,5.13440
699.30000,42260.00000,40.00000,2.12000,5.04240
702.80000,42160.00000,40.00000,-0.69000,5.01380
704.30000,42060.00000,40.00000,-1.64000,5.03280
706.00000,41960.00000,40.00000,-3.70000,5.07400
708.50000,41860.00000,40.00000,-2.74000,5.05480
711.00000,41760.00000,40.00000,-3.01000,5.06020
715.20000,41660.00000,40.00000,-2.73000,5.05460
720.00000,41560.00000,40.00000,-1.78000,5.03560
723.10000,41460.00000,40.00000,0.96000,5.01920
719.90000,41360.00000,40.00000,6.32000,5.12640
714.20000,41260.00000,40.00000,15.08000,5.30160
709.50000,41160.00000,40.00000,28.39000,5.56780
704.00000,41061.00000,40.00000,40.44000,5.80880
703.00000,40961.00000,40.00000,56.49000,6.12980
704.60000,40861.00000,40.00000,79.95000,6.59900
703.10000,40761.00000,40.00000,112.00000,7.24000
698.50000,40661.00000,40.00000,163.12000,8.26240
696.00000,40561.00000,40.00000,238.73000,9.77460
696.00000,40461.00000,40.00000,339.21000,11.78420
697.00000,40361.00000,40.00000,478.75000,14.57500
697.90000,40261.00000,40.00000,655.24000,18.10480
699.90000,40161.00000,40.00000,834.65000,21.69300
702.30000,40061.00000,40.00000,976.05000,24.52100
759.00000,40029.00000,40.00000,961.60000,24.23200
760.90000,40129.00000,40.00000,890.86000,22.81720
767.00000,40228.00000,40.00000,749.95000,19.99900
777.50000,40328.00000,40.00000,590.48000,16.80960
791.30000,40427.00000,40.00000,444.15000,13.88300
803.30000,40526.00000,40.00000,335.66000,11.71320
811.10000,40626.00000,40.00000,245.36000,9.90720
813.00000,40725.00000,40.00000,176.89000,8.53780
809.80000,40825.00000,40.00000,125.54000,7.51080
803.20000,40925.00000,40.00000,90.31000,6.80620
796.10000,41025.00000,40.00000,61.26000,6.22520
791.30000,41125.00000,40.00000,42.45000,5.84900
791.00000,41225.00000,40.00000,25.96000,5.51920
794.90000,41325.00000,40.00000,13.71000,5.27420
802.50000,41424.00000,40.00000,6.27000,5.12540
810.40000,41524.00000,40.00000,3.27000,5.06540
815.50000,41624.00000,40.00000,2.24000,5.04480
817.20000,41724.00000,40.00000,0.07000,5.00140
819.10000,41824.00000,40.00000,-0.48000,5.00960
822.00000,41924.00000,40.00000,-1.37000,5.02740
824.00000,42024.00000,40.00000,-2.20000,5.04400
824.10000,42124.00000,40.00000,-0.09000,5.00180
820.60000,42224.00000,40.00000,3.44000,5.06880
813.30000,42323.00000,40.00000,6.45000,5.12900
804.30000,42423.00000,40.00000,8.53000,5.17060
798.60000,42523.00000,40.00000,8.16000,5.16320
797.00000,42623.00000,40.00000,2.17000,5.04340
