X,Y,Z,Anomalia_Bouguer_mGal
-80.00000,-80.00000,2.97000,0.00087
-70.00000,-80.00000,2.43380,0.00083
-60.00000,-80.00000,1.85580,0.00095
-50.00000,-80.00000,1.26620,0.00089
-40.00000,-80.00000,0.70243,0.00093
-30.00000,-80.00000,0.20571,0.00078
-20.00000,-80.00000,-0.18386,0.00066
-10.00000,-80.00000,-0.43264,0.00043
0.00000,-80.00000,-0.51819,0.00014
10.00000,-80.00000,-0.43264,-0.00000
20.00000,-80.00000,-0.18386,-0.00026
30.00000,-80.00000,0.20571,-0.00043
40.00000,-80.00000,0.70243,-0.00047
50.00000,-80.00000,1.26620,-0.00058
60.00000,-80.00000,1.85580,-0.00057
70.00000,-80.00000,2.43380,-0.00048
80.00000,-80.00000,2.97000,-0.00048
-80.00000,-70.00000,2.43380,0.00104
-70.00000,-70.00000,1.75600,0.00113
-60.00000,-70.00000,1.02540,0.00127
-50.00000,-70.00000,0.28004,0.00131
-40.00000,-70.00000,-0.43264,0.00123
-30.00000,-70.00000,-1.06050,0.00111
-20.00000,-70.00000,-1.55300,0.00085
-10.00000,-70.00000,-1.86750,0.00047
0.00000,-70.00000,-1.97560,0.00012
10.00000,-70.00000,-1.86750,-0.00011
20.00000,-70.00000,-1.55300,-0.00046
30.00000,-70.00000,-1.06050,-0.00072
40.00000,-70.00000,-0.43264,-0.00089
50.00000,-70.00000,0.28004,-0.00100
60.00000,-70.00000,1.02540,-0.00089
70.00000,-70.00000,1.75600,-0.00080
80.00000,-70.00000,2.43380,-0.00071
-80.00000,-60.00000,1.85580,0.00124
-70.00000,-60.00000,1.02540,0.00164
-60.00000,-60.00000,0.13021,0.00178
-50.00000,-60.00000,-0.78302,0.00197
-40.00000,-60.00000,-1.65620,0.00196
-30.00000,-60.00000,-2.42550,0.00176
-20.00000,-60.00000,-3.02890,0.00135
-10.00000,-60.00000,-3.41420,0.00078
0.00000,-60.00000,-3.54670,0.00024
10.00000,-60.00000,-3.41420,-0.00029
20.00000,-60.00000,-3.02890,-0.00082
30.00000,-60.00000,-2.42550,-0.00127
40.00000,-60.00000,-1.65620,-0.00154
50.00000,-60.00000,-0.78302,-0.00157
60.00000,-60.00000,0.13021,-0.00137
70.00000,-60.00000,1.02540,-0.00116
80.00000,-60.00000,1.85580,-0.00109
-80.00000,-50.00000,1.26620,0.00175
-70.00000,-50.00000,0.28004,0.00211
-60.00000,-50.00000,-0.78302,0.00250
-50.00000,-50.00000,-1.86750,0.00290
-40.00000,-50.00000,-2.90440,0.00295
-30.00000,-50.00000,-3.81800,0.00271
-20.00000,-50.00000,-4.53460,0.00205
-10.00000,-50.00000,-4.99220,0.00132
0.00000,-50.00000,-5.14950,0.00029
10.00000,-50.00000,-4.99220,-0.00074
20.00000,-50.00000,-4.53460,-0.00157
30.00000,-50.00000,-3.81800,-0.00221
40.00000,-50.00000,-2.90440,-0.00237
50.00000,-50.00000,-1.86750,-0.00242
60.00000,-50.00000,-0.78302,-0.00199
70.00000,-50.00000,0.28004,-0.00164
80.00000,-50.00000,1.26620,-0.00132
-80.00000,-40.00000,0.70243,0.00234
-70.00000,-40.00000,-0.43264,0.00283
-60.00000,-40.00000,-1.65620,0.00366
-50.00000,-40.00000,-2.90440,0.00425
-40.00000,-40.00000,-4.09800,0.00461
-30.00000,-40.00000,-5.14950,0.00435
-20.00000,-40.00000,-5.97420,0.00346
-10.00000,-40.00000,-6.50090,0.00195
0.00000,-40.00000,-6.68200,0.00033
10.00000,-40.00000,-6.50090,-0.00136
20.00000,-40.00000,-5.97420,-0.00277
30.00000,-40.00000,-5.14950,-0.00360
40.00000,-40.00000,-4.09800,-0.00405
50.00000,-40.00000,-2.90440,-0.00361
60.00000,-40.00000,-1.65620,-0.00304
70.00000,-40.00000,-0.43264,-0.00244
80.00000,-40.00000,0.70243,-0.00181
-80.00000,-30.00000,0.20571,0.00278
-70.00000,-30.00000,-1.06050,0.00381
-60.00000,-30.00000,-2.42550,0.00509
-50.00000,-30.00000,-3.81800,0.00653
-40.00000,-30.00000,-5.14950,0.00750
-30.00000,-30.00000,-6.32260,0.00735
-20.00000,-30.00000,-7.24260,0.00568
-10.00000,-30.00000,-7.83020,0.00329
0.00000,-30.00000,-8.03220,0.00041
10.00000,-30.00000,-7.83020,-0.00239
20.00000,-30.00000,-7.24260,-0.00490
30.00000,-30.00000,-6.32260,-0.00649
40.00000,-30.00000,-5.14950,-0.00657
50.00000,-30.00000,-3.81800,-0.00582
60.00000,-30.00000,-2.42550,-0.00442
70.00000,-30.00000,-1.06050,-0.00336
80.00000,-30.00000,0.20571,-0.00230
-80.00000,-20.00000,-0.18386,0.00351
-70.00000,-20.00000,-1.55300,0.00494
-60.00000,-20.00000,-3.02890,0.00708
-50.00000,-20.00000,-4.53460,0.00956
-40.00000,-20.00000,-5.97420,0.01137
-30.00000,-20.00000,-7.24260,0.01164
-20.00000,-20.00000,-8.23750,0.00919
-10.00000,-20.00000,-8.87270,0.00505
0.00000,-20.00000,-9.09120,0.00056
10.00000,-20.00000,-8.87270,-0.00396
20.00000,-20.00000,-8.23750,-0.00824
30.00000,-20.00000,-7.24260,-0.01095
40.00000,-20.00000,-5.97420,-0.01081
50.00000,-20.00000,-4.53460,-0.00868
60.00000,-20.00000,-3.02890,-0.00627
70.00000,-20.00000,-1.55300,-0.00440
80.00000,-20.00000,-0.18386,-0.00303
-80.00000,-10.00000,-0.43264,0.00382
-70.00000,-10.00000,-1.86750,0.00572
-60.00000,-10.00000,-3.41420,0.00856
-50.00000,-10.00000,-4.99220,0.01228
-40.00000,-10.00000,-6.50090,0.01563
-30.00000,-10.00000,-7.83020,0.01624
-20.00000,-10.00000,-8.87270,0.01287
-10.00000,-10.00000,-9.53850,0.00704
0.00000,-10.00000,-9.76740,0.00059
10.00000,-10.00000,-9.53850,-0.00567
20.00000,-10.00000,-8.87270,-0.01222
30.00000,-10.00000,-7.83020,-0.01637
40.00000,-10.00000,-6.50090,-0.01571
50.00000,-10.00000,-4.99220,-0.01192
60.00000,-10.00000,-3.41420,-0.00797
70.00000,-10.00000,-1.86750,-0.00524
80.00000,-10.00000,-0.43264,-0.00335
-80.00000,0.00000,-0.51819,0.00410
-70.00000,0.00000,-1.97560,0.00619
-60.00000,0.00000,-3.54670,0.00924
-50.00000,0.00000,-5.14950,0.01366
-40.00000,0.00000,-6.68200,0.01757
-30.00000,0.00000,-8.03220,0.01840
-20.00000,0.00000,-9.09120,0.01447
-10.00000,0.00000,-9.76740,0.00786
0.00000,0.00000,-10.00000,0.00075
10.00000,0.00000,-9.76740,-0.00664
20.00000,0.00000,-9.09120,-0.01420
30.00000,0.00000,-8.03220,-0.01921
40.00000,0.00000,-6.68200,-0.01827
50.00000,0.00000,-5.14950,-0.01320
60.00000,0.00000,-3.54670,-0.00861
70.00000,0.00000,-1.97560,-0.00545
80.00000,0.00000,-0.51819,-0.00354
-80.00000,10.00000,-0.43264,0.00384
-70.00000,10.00000,-1.86750,0.00580
-60.00000,10.00000,-3.41420,0.00854
-50.00000,10.00000,-4.99220,0.01227
-40.00000,10.00000,-6.50090,0.01562
-30.00000,10.00000,-7.83020,0.01621
-20.00000,10.00000,-8.87270,0.01283
-10.00000,10.00000,-9.53850,0.00705
0.00000,10.00000,-9.76740,0.00072
10.00000,10.00000,-9.53850,-0.00578
20.00000,10.00000,-8.87270,-0.01216
30.00000,10.00000,-7.83020,-0.01646
40.00000,10.00000,-6.50090,-0.01573
50.00000,10.00000,-4.99220,-0.01188
60.00000,10.00000,-3.41420,-0.00786
70.00000,10.00000,-1.86750,-0.00523
80.00000,10.00000,-0.43264,-0.00335
-80.00000,20.00000,-0.18386,0.00348
-70.00000,20.00000,-1.55300,0.00499
-60.00000,20.00000,-3.02890,0.00701
-50.00000,20.00000,-4.53460,0.00949
-40.00000,20.00000,-5.97420,0.01148
-30.00000,20.00000,-7.24260,0.01153
-20.00000,20.00000,-8.23750,0.00920
-10.00000,20.00000,-8.87270,0.00514
0.00000,20.00000,-9.09120,0.00049
10.00000,20.00000,-8.87270,-0.00397
20.00000,20.00000,-8.23750,-0.00808
30.00000,20.00000,-7.24260,-0.01094
40.00000,20.00000,-5.97420,-0.01081
50.00000,20.00000,-4.53460,-0.00865
60.00000,20.00000,-3.02890,-0.00620
70.00000,20.00000,-1.55300,-0.00428
80.00000,20.00000,-0.18386,-0.00297
-80.00000,30.00000,0.20571,0.00277
-70.00000,30.00000,-1.06050,0.00383
-60.00000,30.00000,-2.42550,0.00507
-50.00000,30.00000,-3.81800,0.00643
-40.00000,30.00000,-5.14950,0.00743
-30.00000,30.00000,-6.32260,0.00722
-20.00000,30.00000,-7.24260,0.00568
-10.00000,30.00000,-7.83020,0.00331
0.00000,30.00000,-8.03220,0.00052
10.00000,30.00000,-7.83020,-0.00231
20.00000,30.00000,-7.24260,-0.00479
30.00000,30.00000,-6.32260,-0.00644
40.00000,30.00000,-5.14950,-0.00656
50.00000,30.00000,-3.81800,-0.00574
60.00000,30.00000,-2.42550,-0.00458
70.00000,30.00000,-1.06050,-0.00339
80.00000,30.00000,0.20571,-0.00235
-80.00000,40.00000,0.70243,0.00223
-70.00000,40.00000,-0.43264,0.00285
-60.00000,40.00000,-1.65620,0.00364
-50.00000,40.00000,-2.90440,0.00421
-40.00000,40.00000,-4.09800,0.00466
-30.00000,40.00000,-5.14950,0.00432
-20.00000,40.00000,-5.97420,0.00354
-10.00000,40.00000,-6.50090,0.00199
0.00000,40.00000,-6.68200,0.00042
10.00000,40.00000,-6.50090,-0.00127
20.00000,40.00000,-5.97420,-0.00265
30.00000,40.00000,-5.14950,-0.00373
40.00000,40.00000,-4.09800,-0.00390
50.00000,40.00000,-2.90440,-0.00373
60.00000,40.00000,-1.65620,-0.00301
70.00000,40.00000,-0.43264,-0.00235
80.00000,40.00000,0.70243,-0.00182
-80.00000,50.00000,1.26620,0.00179
-70.00000,50.00000,0.28004,0.00207
-60.00000,50.00000,-0.78302,0.00250
-50.00000,50.00000,-1.86750,0.00273
-40.00000,50.00000,-2.90440,0.00288
-30.00000,50.00000,-3.81800,0.00271
-20.00000,50.00000,-4.53460,0.00218
-10.00000,50.00000,-4.99220,0.00125
0.00000,50.00000,-5.14950,0.00033
10.00000,50.00000,-4.99220,-0.00072
20.00000,50.00000,-4.53460,-0.00163
30.00000,50.00000,-3.81800,-0.00207
40.00000,50.00000,-2.90440,-0.00246
50.00000,50.00000,-1.86750,-0.00232
60.00000,50.00000,-0.78302,-0.00203
70.00000,50.00000,0.28004,-0.00165
80.00000,50.00000,1.26620,-0.00134
-80.00000,60.00000,1.85580,0.00125
-70.00000,60.00000,1.02540,0.00156
-60.00000,60.00000,0.13021,0.00178
-50.00000,60.00000,-0.78302,0.00181
-40.00000,60.00000,-1.65620,0.00195
-30.00000,60.00000,-2.42550,0.00177
-20.00000,60.00000,-3.02890,0.00141
-10.00000,60.00000,-3.41420,0.00090
0.00000,60.00000,-3.54670,0.00018
10.00000,60.00000,-3.41420,-0.00028
20.00000,60.00000,-3.02890,-0.00091
30.00000,60.00000,-2.42550,-0.00125
40.00000,60.00000,-1.65620,-0.00155
50.00000,60.00000,-0.78302,-0.00142
60.00000,60.00000,0.13021,-0.00137
70.00000,60.00000,1.02540,-0.00129
80.00000,60.00000,1.85580,-0.00104
-80.00000,70.00000,2.43380,0.00103
-70.00000,70.00000,1.75600,0.00108
-60.00000,70.00000,1.02540,0.00124
-50.00000,70.00000,0.28004,0.00131
-40.00000,70.00000,-0.43264,0.00126
-30.00000,70.00000,-1.06050,0.00112
-20.00000,70.00000,-1.55300,0.00096
-10.00000,70.00000,-1.86750,0.00049
0.00000,70.00000,-1.97560,0.00019
10.00000,70.00000,-1.86750,-0.00015
20.00000,70.00000,-1.55300,-0.00043
30.00000,70.00000,-1.06050,-0.00083
40.00000,70.00000,-0.43264,-0.00083
50.00000,70.00000,0.28004,-0.00086
60.00000,70.00000,1.02540,-0.00088
70.00000,70.00000,1.75600,-0.00084
80.00000,70.00000,2.43380,-0.00071
-80.00000,80.00000,2.97000,0.00074
-70.00000,80.00000,2.43380,0.00087
-60.00000,80.00000,1.85580,0.00089
-50.00000,80.00000,1.26620,0.00087
-40.00000,80.00000,0.70243,0.00092
-30.00000,80.00000,0.20571,0.00084
-20.00000,80.00000,-0.18386,0.00063
-10.00000,80.00000,-0.43264,0.00034
0.00000,80.00000,-0.51819,0.00018
10.00000,80.00000,-0.43264,-0.00011
20.00000,80.00000,-0.18386,-0.00020
30.00000,80.00000,0.20571,-0.00050
40.00000,80.00000,0.70243,-0.00048
50.00000,80.00000,1.26620,-0.00066
60.00000,80.00000,1.85580,-0.00059
70.00000,80.00000,2.43380,-0.00057
80.00000,80.00000,2.97000,-0.00057
