hole_id,easting,northing,depth_from,depth_to,density,susceptibility,lithology
DDH-01,1000.0,1000.0,0.0,150.0,2.7,0.0005,andesita
DDH-01,1000.0,1000.0,150.0,450.0,3.7,0.15,magnetita
DDH-01,1000.0,1000.0,450.0,600.0,2.7,0.0005,andesita
DDH-02,900.0,1000.0,0.0,188.2,2.7,0.0005,andesita
DDH-02,900.0,1000.0,188.2,411.8,3.7,0.15,magnetita
DDH-02,900.0,1000.0,411.8,600.0,2.7,0.0005,andesita
DDH-03,1100.0,1100.0,0.0,250.0,2.7,0.0005,andesita
DDH-03,1100.0,1100.0,250.0,350.0,3.7,0.15,magnetita
DDH-03,1100.0,1100.0,350.0,600.0,2.7,0.0005,andesita
DDH-04,1500.0,1500.0,0.0,600.0,2.7,0.0005,andesita
