easting,northing,elevation,bouguer_anomaly,unit
0.00,0.00,430.25950,-0.21519,mGal
20.00,0.00,430.25950,-0.23735,mGal
40.00,0.00,428.88200,-0.26066,mGal
60.00,0.00,427.75490,-0.28578,mGal
80.00,0.00,427.09970,-0.31251,mGal
100.00,0.00,426.85860,-0.34027,mGal
120.00,0.00,426.85860,-0.36814,mGal
140.00,0.00,426.85470,-0.39497,mGal
160.00,0.00,426.92090,-0.41951,mGal
180.00,0.00,426.98240,-0.44043,mGal
200.00,0.00,426.98240,-0.45643,mGal
220.00,0.00,427.00870,-0.46654,mGal
240.00,0.00,427.03190,-0.47011,mGal
260.00,0.00,427.05120,-0.46697,mGal
280.00,0.00,427.05120,-0.45750,mGal
300.00,0.00,427.03890,-0.44253,mGal
320.00,0.00,426.92810,-0.42312,mGal
340.00,0.00,426.70830,-0.40055,mGal
360.00,0.00,426.70830,-0.37628,mGal
380.00,0.00,426.46720,-0.35104,mGal
400.00,0.00,426.38940,-0.32597,mGal
420.00,0.00,426.60400,-0.30179,mGal
440.00,0.00,426.60400,-0.27844,mGal
460.00,0.00,427.11080,-0.25674,mGal
480.00,0.00,427.81630,-0.23654,mGal
500.00,0.00,428.59500,-0.21773,mGal
520.00,0.00,428.59500,-0.19966,mGal
540.00,0.00,429.32650,-0.18347,mGal
560.00,0.00,429.97110,-0.16845,mGal
580.00,0.00,430.52610,-0.15457,mGal
600.00,0.00,430.52610,-0.14148,mGal
0.00,20.00,429.83470,-0.23556,mGal
20.00,20.00,429.83470,-0.26177,mGal
40.00,20.00,428.55140,-0.28997,mGal
60.00,20.00,427.55040,-0.32086,mGal
80.00,20.00,427.00130,-0.35423,mGal
100.00,20.00,426.81560,-0.38939,mGal
120.00,20.00,426.81560,-0.42524,mGal
140.00,20.00,426.84500,-0.46029,mGal
160.00,20.00,426.92240,-0.49277,mGal
180.00,20.00,426.98360,-0.52075,mGal
200.00,20.00,426.98360,-0.54236,mGal
220.00,20.00,427.00470,-0.55608,mGal
240.00,20.00,427.01280,-0.56091,mGal
260.00,20.00,427.02550,-0.55655,mGal
280.00,20.00,427.02550,-0.54353,mGal
300.00,20.00,427.02690,-0.52310,mGal
320.00,20.00,426.98190,-0.49700,mGal
340.00,20.00,426.86370,-0.46713,mGal
360.00,20.00,426.86370,-0.43543,mGal
380.00,20.00,426.70550,-0.40319,mGal
400.00,20.00,426.65090,-0.37167,mGal
420.00,20.00,426.83920,-0.34168,mGal
440.00,20.00,426.83920,-0.31323,mGal
460.00,20.00,427.33310,-0.28709,mGal
480.00,20.00,428.05600,-0.26303,mGal
500.00,20.00,428.86610,-0.24087,mGal
520.00,20.00,428.86610,-0.21980,mGal
540.00,20.00,429.65260,-0.20104,mGal
560.00,20.00,430.33810,-0.18376,mGal
580.00,20.00,430.93440,-0.16789,mGal
600.00,20.00,430.93440,-0.15302,mGal
0.00,40.00,429.52830,-0.25720,mGal
20.00,40.00,429.52830,-0.28807,mGal
40.00,40.00,428.30190,-0.32201,mGal
60.00,40.00,427.40460,-0.35988,mGal
80.00,40.00,426.92190,-0.40147,mGal
100.00,40.00,426.79980,-0.44610,mGal
120.00,40.00,426.79980,-0.49242,mGal
140.00,40.00,426.86120,-0.53853,mGal
160.00,40.00,426.94130,-0.58188,mGal
180.00,40.00,426.99210,-0.61966,mGal
200.00,40.00,426.99210,-0.64918,mGal
220.00,40.00,427.00540,-0.66814,mGal
240.00,40.00,427.00590,-0.67499,mGal
260.00,40.00,427.00940,-0.66912,mGal
280.00,40.00,427.00940,-0.65119,mGal
300.00,40.00,427.01220,-0.62307,mGal
320.00,40.00,426.98970,-0.58748,mGal
340.00,40.00,426.93140,-0.54741,mGal
360.00,40.00,426.93140,-0.50564,mGal
380.00,40.00,426.86120,-0.46417,mGal
400.00,40.00,426.86780,-0.42444,mGal
420.00,40.00,427.07130,-0.38731,mGal
440.00,40.00,427.07130,-0.35269,mGal
460.00,40.00,427.54400,-0.32123,mGal
480.00,40.00,428.25510,-0.29262,mGal
500.00,40.00,429.09220,-0.26655,mGal
520.00,40.00,429.09220,-0.24200,mGal
540.00,40.00,429.93450,-0.22030,mGal
560.00,40.00,430.68460,-0.20046,mGal
580.00,40.00,431.33380,-0.18233,mGal
600.00,40.00,431.33380,-0.16544,mGal
0.00,60.00,429.37800,-0.27977,mGal
20.00,60.00,429.37800,-0.31590,mGal
40.00,60.00,428.14820,-0.35647,mGal
60.00,60.00,427.28150,-0.40258,mGal
80.00,60.00,426.86950,-0.45425,mGal
100.00,60.00,426.78550,-0.51080,mGal
120.00,60.00,426.78550,-0.57075,mGal
140.00,60.00,426.86630,-0.63156,mGal
160.00,60.00,426.95760,-0.68961,mGal
180.00,60.00,426.99820,-0.74075,mGal
200.00,60.00,426.99820,-0.78110,mGal
220.00,60.00,427.00900,-0.80755,mGal
240.00,60.00,427.00590,-0.81779,mGal
260.00,60.00,427.00830,-0.81044,mGal
280.00,60.00,427.00830,-0.78610,mGal
300.00,60.00,427.00640,-0.74740,mGal
320.00,60.00,426.98800,-0.69854,mGal
340.00,60.00,426.94600,-0.64429,mGal
360.00,60.00,426.94600,-0.58889,mGal
380.00,60.00,426.91700,-0.53527,mGal
400.00,60.00,426.98400,-0.48514,mGal
420.00,60.00,427.23040,-0.43925,mGal
440.00,60.00,427.23040,-0.39724,mGal
460.00,60.00,427.71160,-0.35958,mGal
480.00,60.00,428.41720,-0.32567,mGal
500.00,60.00,429.27270,-0.29507,mGal
520.00,60.00,429.27270,-0.26653,mGal
540.00,60.00,430.16790,-0.24144,mGal
560.00,60.00,430.99880,-0.21866,mGal
580.00,60.00,431.71700,-0.19798,mGal
600.00,60.00,431.71700,-0.17879,mGal
0.00,80.00,429.37800,-0.30278,mGal
20.00,80.00,429.37800,-0.34464,mGal
40.00,80.00,428.14820,-0.39265,mGal
60.00,80.00,427.28150,-0.44829,mGal
80.00,80.00,426.86950,-0.51194,mGal
100.00,80.00,426.78550,-0.58313,mGal
120.00,80.00,426.78550,-0.66031,mGal
140.00,80.00,426.86630,-0.74013,mGal
160.00,80.00,426.95760,-0.81737,mGal
180.00,80.00,426.99820,-0.88570,mGal
200.00,80.00,426.99820,-0.93980,mGal
220.00,80.00,427.00900,-0.97624,mGal
240.00,80.00,427.00590,-0.99206,mGal
260.00,80.00,427.00830,-0.98429,mGal
280.00,80.00,427.00830,-0.95270,mGal
300.00,80.00,427.00640,-0.90049,mGal
320.00,80.00,426.98800,-0.83384,mGal
340.00,80.00,426.94600,-0.76044,mGal
360.00,80.00,426.94600,-0.68697,mGal
380.00,80.00,426.91700,-0.61769,mGal
400.00,80.00,426.98400,-0.55457,mGal
420.00,80.00,427.23040,-0.49807,mGal
440.00,80.00,427.23040,-0.44739,mGal
460.00,80.00,427.71160,-0.40252,mGal
480.00,80.00,428.41720,-0.36252,mGal
500.00,80.00,429.27270,-0.32670,mGal
520.00,80.00,429.27270,-0.29356,mGal
540.00,80.00,430.16790,-0.26452,mGal
560.00,80.00,430.99880,-0.23830,mGal
580.00,80.00,431.71700,-0.21463,mGal
600.00,80.00,431.71700,-0.19284,mGal
0.00,100.00,429.42140,-0.32545,mGal
20.00,100.00,429.42140,-0.37333,mGal
40.00,100.00,428.12480,-0.42936,mGal
60.00,100.00,427.26220,-0.49557,mGal
80.00,100.00,426.85130,-0.57293,mGal
100.00,100.00,426.78520,-0.66134,mGal
120.00,100.00,426.78520,-0.75918,mGal
140.00,100.00,426.87450,-0.86196,mGal
160.00,100.00,426.96110,-0.96218,mGal
180.00,100.00,427.00610,-1.05026,mGal
200.00,100.00,427.00610,-1.11939,mGal
220.00,100.00,427.01100,-1.16715,mGal
240.00,100.00,427.00730,-1.19090,mGal
260.00,100.00,427.00920,-1.18539,mGal
280.00,100.00,427.00920,-1.14808,mGal
300.00,100.00,427.00900,-1.08162,mGal
320.00,100.00,426.98590,-0.99406,mGal
340.00,100.00,426.93620,-0.89692,mGal
360.00,100.00,426.93620,-0.80074,mGal
380.00,100.00,426.91440,-0.71211,mGal
400.00,100.00,427.00610,-0.63340,mGal
420.00,100.00,427.29500,-0.56458,mGal
440.00,100.00,427.29500,-0.50401,mGal
460.00,100.00,427.81450,-0.45102,mGal
480.00,100.00,428.54450,-0.40413,mGal
500.00,100.00,429.41870,-0.36234,mGal
520.00,100.00,429.41870,-0.32388,mGal
540.00,100.00,430.35650,-0.29028,mGal
560.00,100.00,431.26340,-0.26012,mGal
580.00,100.00,432.06730,-0.23305,mGal
600.00,100.00,432.06730,-0.20824,mGal
