easting,northing,elevation,bouguer_anomaly,unit
0.00,0.00,430.25950,-0.21519,mGal
40.00,0.00,428.88200,-0.26066,mGal
80.00,0.00,427.09970,-0.31251,mGal
120.00,0.00,426.85860,-0.36814,mGal
160.00,0.00,426.92090,-0.41951,mGal
200.00,0.00,426.98240,-0.45643,mGal
240.00,0.00,427.03190,-0.47011,mGal
280.00,0.00,427.05120,-0.45750,mGal
320.00,0.00,426.92810,-0.42312,mGal
360.00,0.00,426.70830,-0.37628,mGal
400.00,0.00,426.38940,-0.32597,mGal
440.00,0.00,426.60400,-0.27844,mGal
480.00,0.00,427.81630,-0.23654,mGal
520.00,0.00,428.59500,-0.19966,mGal
560.00,0.00,429.97110,-0.16845,mGal
600.00,0.00,430.52610,-0.14148,mGal
0.00,40.00,429.52830,-0.25720,mGal
40.00,40.00,428.30190,-0.32201,mGal
80.00,40.00,426.92190,-0.40147,mGal
120.00,40.00,426.79980,-0.49242,mGal
160.00,40.00,426.94130,-0.58188,mGal
200.00,40.00,426.99210,-0.64918,mGal
240.00,40.00,427.00590,-0.67499,mGal
280.00,40.00,427.00940,-0.65119,mGal
320.00,40.00,426.98970,-0.58748,mGal
360.00,40.00,426.93140,-0.50564,mGal
400.00,40.00,426.86780,-0.42444,mGal
440.00,40.00,427.07130,-0.35269,mGal
480.00,40.00,428.25510,-0.29262,mGal
520.00,40.00,429.09220,-0.24200,mGal
560.00,40.00,430.68460,-0.20046,mGal
600.00,40.00,431.33380,-0.16544,mGal
0.00,80.00,429.37800,-0.30278,mGal
40.00,80.00,428.14820,-0.39265,mGal
80.00,80.00,426.86950,-0.51194,mGal
120.00,80.00,426.78550,-0.66031,mGal
160.00,80.00,426.95760,-0.81737,mGal
200.00,80.00,426.99820,-0.93980,mGal
240.00,80.00,427.00590,-0.99206,mGal
280.00,80.00,427.00830,-0.95270,mGal
320.00,80.00,426.98800,-0.83384,mGal
360.00,80.00,426.94600,-0.68697,mGal
400.00,80.00,426.98400,-0.55457,mGal
440.00,80.00,427.23040,-0.44739,mGal
480.00,80.00,428.41720,-0.36252,mGal
520.00,80.00,429.27270,-0.29356,mGal
560.00,80.00,430.99880,-0.23830,mGal
600.00,80.00,431.71700,-0.19284,mGal
0.00,120.00,429.64780,-0.34699,mGal
40.00,120.00,428.22580,-0.46500,mGal
80.00,120.00,426.86120,-0.63431,mGal
120.00,120.00,426.79770,-0.86205,mGal
160.00,120.00,426.97050,-1.11292,mGal
200.00,120.00,427.01180,-1.30268,mGal
240.00,120.00,427.00460,-1.39278,mGal
