station_id,easting,northing,utm_zone,elevation,bouguer_anomaly,magnetic_nt,gravity_type,unit
J0000,715000.0,6526000.0,19S,1800,0.0,0.6,bouguer_anomaly,mGal
J0001,715000.0,6527272.7,19S,1800,-0.014,-1.78,bouguer_anomaly,mGal
J0002,715000.0,6528545.5,19S,1800,-0.024,-1.98,bouguer_anomaly,mGal
J0003,715000.0,6529818.2,19S,1800,-0.005,2.68,bouguer_anomaly,mGal
J0004,715000.0,6531090.9,19S,1800,-0.044,-1.22,bouguer_anomaly,mGal
J0005,715000.0,6532363.6,19S,1800,0.002,0.73,bouguer_anomaly,mGal
J0006,715000.0,6533636.4,19S,1800,-0.008,-1.85,bouguer_anomaly,mGal
J0007,715000.0,6534909.1,19S,1800,-0.005,1.39,bouguer_anomaly,mGal
J0008,715000.0,6536181.8,19S,1800,-0.068,-0.92,bouguer_anomaly,mGal
J0009,715000.0,6537454.5,19S,1800,-0.095,-2.58,bouguer_anomaly,mGal
J0010,715000.0,6538727.3,19S,1800,-0.092,-0.47,bouguer_anomaly,mGal
J0011,715000.0,6540000.0,19S,1800,-0.063,0.54,bouguer_anomaly,mGal
J0012,716076.9,6526000.0,19S,1800,0.008,-0.37,bouguer_anomaly,mGal
J0013,716076.9,6527272.7,19S,1800,-0.127,-1.08,bouguer_anomaly,mGal
J0014,716076.9,6528545.5,19S,1800,-0.016,0.24,bouguer_anomaly,mGal
J0015,716076.9,6529818.2,19S,1800,-0.145,-0.84,bouguer_anomaly,mGal
J0016,716076.9,6531090.9,19S,1800,-0.212,-1.15,bouguer_anomaly,mGal
J0017,716076.9,6532363.6,19S,1800,-0.138,-1.02,bouguer_anomaly,mGal
J0018,716076.9,6533636.4,19S,1800,-0.11,2.01,bouguer_anomaly,mGal
J0019,716076.9,6534909.1,19S,1800,-0.059,-0.19,bouguer_anomaly,mGal
J0020,716076.9,6536181.8,19S,1800,0.001,0.13,bouguer_anomaly,mGal
J0021,716076.9,6537454.5,19S,1800,-0.062,0.15,bouguer_anomaly,mGal
J0022,716076.9,6538727.3,19S,1800,0.068,-3.09,bouguer_anomaly,mGal
J0023,716076.9,6540000.0,19S,1800,0.043,0.24,bouguer_anomaly,mGal
J0024,717153.8,6526000.0,19S,1800,-0.032,4.0,bouguer_anomaly,mGal
J0025,717153.8,6527272.7,19S,1800,0.031,-2.4,bouguer_anomaly,mGal
J0026,717153.8,6528545.5,19S,1800,-0.066,1.28,bouguer_anomaly,mGal
J0027,717153.8,6529818.2,19S,1800,-0.354,2.86,bouguer_anomaly,mGal
J0028,717153.8,6531090.9,19S,1800,-0.829,7.19,bouguer_anomaly,mGal
J0029,717153.8,6532363.6,19S,1800,-0.891,6.1,bouguer_anomaly,mGal
J0030,717153.8,6533636.4,19S,1800,-0.537,2.15,bouguer_anomaly,mGal
J0031,717153.8,6534909.1,19S,1800,-0.145,-1.96,bouguer_anomaly,mGal
J0032,717153.8,6536181.8,19S,1800,-0.049,-0.37,bouguer_anomaly,mGal
J0033,717153.8,6537454.5,19S,1800,0.044,2.29,bouguer_anomaly,mGal
J0034,717153.8,6538727.3,19S,1800,-0.066,-1.59,bouguer_anomaly,mGal
J0035,717153.8,6540000.0,19S,1800,0.032,-3.98,bouguer_anomaly,mGal
J0036,718230.8,6526000.0,19S,1800,-0.024,-0.19,bouguer_anomaly,mGal
J0037,718230.8,6527272.7,19S,1800,0.042,1.4,bouguer_anomaly,mGal
