X,Y,Z,TMI_nT
-80.00000,-80.00000,7.97000,1.56170
-70.00000,-80.00000,7.43380,1.44310
-60.00000,-80.00000,6.85580,1.31390
-50.00000,-80.00000,6.26620,1.51970
-40.00000,-80.00000,5.70240,1.26060
-30.00000,-80.00000,5.20570,1.54780
-20.00000,-80.00000,4.81610,1.41530
-10.00000,-80.00000,4.56740,1.45880
0.00000,-80.00000,4.48180,1.51060
10.00000,-80.00000,4.56740,1.59670
20.00000,-80.00000,4.81610,1.47320
30.00000,-80.00000,5.20570,1.24760
40.00000,-80.00000,5.70240,1.41220
50.00000,-80.00000,6.26620,1.39720
60.00000,-80.00000,6.85580,1.33430
70.00000,-80.00000,7.43380,1.61980
80.00000,-80.00000,7.97000,1.92090
-80.00000,-70.00000,7.43380,1.47870
-70.00000,-70.00000,6.75600,1.16080
-60.00000,-70.00000,6.02540,1.58630
-50.00000,-70.00000,5.28000,1.54000
-40.00000,-70.00000,4.56740,1.50200
-30.00000,-70.00000,3.93950,1.62290
-20.00000,-70.00000,3.44700,1.76050
-10.00000,-70.00000,3.13250,1.70890
0.00000,-70.00000,3.02440,1.56660
10.00000,-70.00000,3.13250,1.56300
20.00000,-70.00000,3.44700,1.79740
30.00000,-70.00000,3.93950,1.35970
40.00000,-70.00000,4.56740,1.41230
50.00000,-70.00000,5.28000,1.56590
60.00000,-70.00000,6.02540,1.40850
70.00000,-70.00000,6.75600,1.38950
80.00000,-70.00000,7.43380,1.41000
-80.00000,-60.00000,6.85580,1.27820
-70.00000,-60.00000,6.02540,1.29600
-60.00000,-60.00000,5.13020,1.56180
-50.00000,-60.00000,4.21700,1.32580
-40.00000,-60.00000,3.34380,1.48620
-30.00000,-60.00000,2.57450,1.69370
-20.00000,-60.00000,1.97110,1.55240
-10.00000,-60.00000,1.58580,1.59680
0.00000,-60.00000,1.45330,1.44160
10.00000,-60.00000,1.58580,1.34710
20.00000,-60.00000,1.97110,1.35920
30.00000,-60.00000,2.57450,1.47000
40.00000,-60.00000,3.34380,1.77110
50.00000,-60.00000,4.21700,1.65060
60.00000,-60.00000,5.13020,1.27250
70.00000,-60.00000,6.02540,1.52830
80.00000,-60.00000,6.85580,1.27480
-80.00000,-50.00000,6.26620,1.24640
-70.00000,-50.00000,5.28000,1.26130
-60.00000,-50.00000,4.21700,1.40210
-50.00000,-50.00000,3.13250,1.64600
-40.00000,-50.00000,2.09560,1.36320
-30.00000,-50.00000,1.18200,1.44810
-20.00000,-50.00000,0.46542,1.91680
-10.00000,-50.00000,0.00785,1.92510
0.00000,-50.00000,-0.14951,2.06340
10.00000,-50.00000,0.00785,2.06270
20.00000,-50.00000,0.46542,1.66760
30.00000,-50.00000,1.18200,1.67270
40.00000,-50.00000,2.09560,1.64630
50.00000,-50.00000,3.13250,1.48440
60.00000,-50.00000,4.21700,1.61920
70.00000,-50.00000,5.28000,1.42920
80.00000,-50.00000,6.26620,1.57440
-80.00000,-40.00000,5.70240,1.27490
-70.00000,-40.00000,4.56740,1.58340
-60.00000,-40.00000,3.34380,1.38240
-50.00000,-40.00000,2.09560,1.27960
-40.00000,-40.00000,0.90204,1.59040
-30.00000,-40.00000,-0.14951,2.12130
-20.00000,-40.00000,-0.97423,2.71150
-10.00000,-40.00000,-1.50090,3.22840
0.00000,-40.00000,-1.68200,3.26590
