station_id,x_m,y_m,z_m,g,unit,uncertainty,quality_flag,gravity_type
ST_0000,0.0,0.0,0.0,0.017206959539312304,mGal,0.02,OK,synthetic_demo
ST_0001,0.0,0.0,25.0,0.07576082713372172,mGal,0.02,OK,synthetic_demo
ST_0002,0.0,0.0,50.0,0.10604589985920529,mGal,0.02,OK,synthetic_demo
ST_0003,0.0,0.0,75.0,0.09891252486212702,mGal,0.02,OK,synthetic_demo
ST_0004,0.0,0.0,100.0,0.11027680262846078,mGal,0.02,OK,synthetic_demo
ST_0005,0.0,0.0,125.0,0.09881978764674647,mGal,0.02,OK,synthetic_demo
ST_0006,0.0,0.0,150.0,0.10854323449968534,mGal,0.02,OK,synthetic_demo
ST_0007,0.0,0.0,175.0,0.09114779930684444,mGal,0.02,OK,synthetic_demo
ST_0008,0.0,0.0,200.0,0.11468081161491313,mGal,0.02,OK,synthetic_demo
ST_0009,0.0,0.0,225.0,0.13757239617989214,mGal,0.02,OK,synthetic_demo
ST_0010,0.0,0.0,250.0,0.14944839609940186,mGal,0.02,OK,synthetic_demo
ST_0011,0.0,0.0,275.0,0.16324922267158923,mGal,0.02,OK,synthetic_demo
ST_0012,0.0,0.0,300.0,0.139823844905052,mGal,0.02,WARNING,synthetic_demo
ST_0013,0.0,0.0,325.0,0.18390254444145793,mGal,0.02,OK,synthetic_demo
ST_0014,0.0,0.0,350.0,0.15273137888891303,mGal,0.02,OK,synthetic_demo
ST_0015,0.0,0.0,375.0,0.18388221583082445,mGal,0.02,OK,synthetic_demo
ST_0016,0.0,0.0,400.0,0.16707923883584205,mGal,0.02,OK,synthetic_demo
ST_0017,0.0,0.0,425.0,0.148247785162039,mGal,0.02,OK,synthetic_demo
ST_0018,0.0,0.0,450.0,0.14534107193118317,mGal,0.02,OK,synthetic_demo
ST_0019,0.0,0.0,475.0,0.1378639153589428,mGal,0.02,OK,synthetic_demo
ST_0020,0.0,0.0,500.0,0.11177243233631187,mGal,0.02,OK,synthetic_demo
ST_0021,0.0,0.0,525.0,0.14261268594042303,mGal,0.02,OK,synthetic_demo
ST_0022,0.0,0.0,550.0,0.123867376164008,mGal,0.02,OK,synthetic_demo
ST_0023,0.0,0.0,575.0,0.08989417471749425,mGal,0.02,OK,synthetic_demo
ST_0024,0.0,0.0,600.0,0.07927069887165969,mGal,0.02,OK,synthetic_demo
ST_0025,0.0,0.0,625.0,0.11216505255456817,mGal,0.02,OK,synthetic_demo
ST_0026,0.0,0.0,650.0,0.06639202233582767,mGal,0.02,OK,synthetic_demo
ST_0027,0.0,0.0,675.0,0.09632479813927604,mGal,0.02,OK,synthetic_demo
ST_0028,0.0,0.0,700.0,0.09758417874769365,mGal,0.02,OK,synthetic_demo
ST_0029,0.0,0.0,725.0,0.045944795882809836,mGal,0.02,OK,synthetic_demo
ST_0030,0.0,0.0,750.0,0.08018291882104875,mGal,0.02,OK,synthetic_demo
ST_0031,0.0,0.0,775.0,0.10585917442006088,mGal,0.02,OK,synthetic_demo
ST_0032,0.0,0.0,800.0,0.048606615790564384,mGal,0.02,OK,synthetic_demo
ST_0033,25.0,0.0,0.0,0.08528666711881182,mGal,0.02,OK,synthetic_demo
ST_0034,25.0,0.0,25.0,0.0718955711954581,mGal,0.02,OK,synthetic_demo
ST_0035,25.0,0.0,50.0,0.08939793760643616,mGal,0.02,OK,synthetic_demo
ST_0036,25.0,0.0,75.0,0.10052384750973495,mGal,0.02,OK,synthetic_demo
ST_0037,25.0,0.0,100.0,0.14639040031946982,mGal,0.02,OK,synthetic_demo
ST_0038,25.0,0.0,125.0,0.13575987022016148,mGal,0.02,OK,synthetic_demo
ST_0039,25.0,0.0,150.0,0.12311505071784132,mGal,0.02,OK,synthetic_demo
ST_0040,25.0,0.0,175.0,0.0959165807240567,mGal,0.02,OK,synthetic_demo
ST_0041,25.0,0.0,200.0,0.11624054011417194,mGal,0.02,OK,synthetic_demo
ST_0042,25.0,0.0,225.0,0.19116697780780353,mGal,0.02,OK,synthetic_demo
ST_0043,25.0,0.0,250.0,0.1837950263194022,mGal,0.02,OK,synthetic_demo
ST_0044,25.0,0.0,275.0,0.15063449104406287,mGal,0.02,OK,synthetic_demo
ST_0045,25.0,0.0,300.0,0.14422702716580196,mGal,0.02,OK,synthetic_demo
ST_0046,25.0,0.0,325.0,0.13736868931357707,mGal,0.02,OK,synthetic_demo
ST_0047,25.0,0.0,350.0,0.1843048000439781,mGal,0.02,OK,synthetic_demo
ST_0048,25.0,0.0,375.0,0.1618357365814154,mGal,0.02,OK,synthetic_demo
ST_0049,25.0,0.0,400.0,0.18891880737853212,mGal,0.02,OK,synthetic_demo
ST_0050,25.0,0.0,425.0,0.16339947615740824,mGal,0.02,OK,synthetic_demo
ST_0051,25.0,0.0,450.0,0.17648906278924403,mGal,0.02,OK,synthetic_demo
ST_0052,25.0,0.0,475.0,0.17471120851254798,mGal,0.02,OK,synthetic_demo
ST_0053,25.0,0.0,500.0,0.17365744633238045,mGal,0.02,OK,synthetic_demo
ST_0054,25.0,0.0,525.0,0.20826471446022288,mGal,0.02,OK,synthetic_demo
ST_0055,25.0,0.0,550.0,0.1773800252407659,mGal,0.02,OK,synthetic_demo
ST_0056,25.0,0.0,575.0,0.1528510956988064,mGal,0.02,OK,synthetic_demo
ST_0057,25.0,0.0,600.0,0.15670043733718164,mGal,0.02,OK,synthetic_demo
ST_0058,25.0,0.0,625.0,0.12888868591346553,mGal,0.02,OK,synthetic_demo
ST_0059,25.0,0.0,650.0,0.1245802853388952,mGal,0.02,OK,synthetic_demo
ST_0060,25.0,0.0,675.0,0.12332155923357273,mGal,0.02,OK,synthetic_demo
ST_0061,25.0,0.0,700.0,0.08597382220213029,mGal,0.02,OK,synthetic_demo
ST_0062,25.0,0.0,725.0,0.097992660556773,mGal,0.02,OK,synthetic_demo
ST_0063,25.0,0.0,750.0,0.07692731209222076,mGal,0.02,OK,synthetic_demo
ST_0064,25.0,0.0,775.0,0.0889078341926711,mGal,0.02,OK,synthetic_demo
ST_0065,25.0,0.0,800.0,0.07046369516418588,mGal,0.02,OK,synthetic_demo
ST_0066,50.0,0.0,0.0,0.06431317610295709,mGal,0.02,OK,synthetic_demo
ST_0067,50.0,0.0,25.0,0.112871468332818,mGal,0.02,OK,synthetic_demo
ST_0068,50.0,0.0,50.0,0.05836089425614841,mGal,0.02,OK,synthetic_demo
ST_0069,50.0,0.0,75.0,0.09917578622976864,mGal,0.02,OK,synthetic_demo
ST_0070,50.0,0.0,100.0,0.12115737160641488,mGal,0.02,OK,synthetic_demo
ST_0071,50.0,0.0,125.0,0.16186425723585104,mGal,0.02,OK,synthetic_demo
ST_0072,50.0,0.0,150.0,0.1490482646856995,mGal,0.02,OK,synthetic_demo
ST_0073,50.0,0.0,175.0,0.1585785107487369,mGal,0.02,OK,synthetic_demo
ST_0074,50.0,0.0,200.0,0.1853851847203421,mGal,0.02,OK,synthetic_demo
ST_0075,50.0,0.0,225.0,0.22109369778189802,mGal,0.02,OK,synthetic_demo
ST_0076,50.0,0.0,250.0,0.17952847621863025,mGal,0.02,OK,synthetic_demo
ST_0077,50.0,0.0,275.0,0.23511981241934282,mGal,0.02,OK,synthetic_demo
ST_0078,50.0,0.0,300.0,0.21388680407074695,mGal,0.02,OK,synthetic_demo
ST_0079,50.0,0.0,325.0,0.2444962638796393,mGal,0.02,OK,synthetic_demo
ST_0080,50.0,0.0,350.0,0.23239244352149865,mGal,0.02,OK,synthetic_demo
ST_0081,50.0,0.0,375.0,0.22442753135366128,mGal,0.02,OK,synthetic_demo
ST_0082,50.0,0.0,400.0,0.1724450837582427,mGal,0.02,OK,synthetic_demo
ST_0083,50.0,0.0,425.0,0.2274609707978586,mGal,0.02,OK,synthetic_demo
ST_0084,50.0,0.0,450.0,0.17318073128702183,mGal,0.02,OK,synthetic_demo
ST_0085,50.0,0.0,475.0,0.18226485674552856,mGal,0.02,OK,synthetic_demo
ST_0086,50.0,0.0,500.0,0.18726251198015864,mGal,0.02,OK,synthetic_demo
ST_0087,50.0,0.0,525.0,0.19045116200888487,mGal,0.02,OK,synthetic_demo
ST_0088,50.0,0.0,550.0,0.19157669422878013,mGal,0.02,OK,synthetic_demo
ST_0089,50.0,0.0,575.0,0.17604682508545244,mGal,0.02,OK,synthetic_demo
ST_0090,50.0,0.0,600.0,0.16316339468925167,mGal,0.02,OK,synthetic_demo
ST_0091,50.0,0.0,625.0,0.11906279820692517,mGal,0.02,OK,synthetic_demo
ST_0092,50.0,0.0,650.0,0.10733645352852451,mGal,0.02,OK,synthetic_demo
ST_0093,50.0,0.0,675.0,0.12617723229729783,mGal,0.02,OK,synthetic_demo
ST_0094,50.0,0.0,700.0,0.10732780537051512,mGal,0.02,OK,synthetic_demo
ST_0095,50.0,0.0,725.0,0.09499368551961714,mGal,0.02,OK,synthetic_demo
ST_0096,50.0,0.0,750.0,0.10271918740215001,mGal,0.02,OK,synthetic_demo
ST_0097,50.0,0.0,775.0,0.08465318160031146,mGal,0.02,OK,synthetic_demo
ST_0098,50.0,0.0,800.0,0.08823903249640139,mGal,0.02,OK,synthetic_demo
ST_0099,75.0,0.0,0.0,0.09501381966286311,mGal,0.02,OK,synthetic_demo
ST_0100,75.0,0.0,25.0,0.06734344133942043,mGal,0.02,OK,synthetic_demo
ST_0101,75.0,0.0,50.0,0.10231848753048971,mGal,0.02,OK,synthetic_demo
ST_0102,75.0,0.0,75.0,0.10667837220278953,mGal,0.02,OK,synthetic_demo
ST_0103,75.0,0.0,100.0,0.1171559686739995,mGal,0.02,OK,synthetic_demo
ST_0104,75.0,0.0,125.0,0.13662746661347494,mGal,0.02,OK,synthetic_demo
ST_0105,75.0,0.0,150.0,0.13773867676673482,mGal,0.02,OK,synthetic_demo
ST_0106,75.0,0.0,175.0,0.18328157737737563,mGal,0.02,OK,synthetic_demo
ST_0107,75.0,0.0,200.0,0.20017307962381492,mGal,0.02,OK,synthetic_demo
ST_0108,75.0,0.0,225.0,0.17545428462048512,mGal,0.02,OK,synthetic_demo
ST_0109,75.0,0.0,250.0,0.22302699015553965,mGal,0.02,OK,synthetic_demo
ST_0110,75.0,0.0,275.0,0.19700331763715184,mGal,0.02,OK,synthetic_demo
ST_0111,75.0,0.0,300.0,0.22578912031416964,mGal,0.02,OK,synthetic_demo
ST_0112,75.0,0.0,325.0,0.24254759536496437,mGal,0.02,OK,synthetic_demo
ST_0113,75.0,0.0,350.0,0.23767762179891688,mGal,0.02,OK,synthetic_demo
ST_0114,75.0,0.0,375.0,0.22487281192176145,mGal,0.02,OK,synthetic_demo
ST_0115,75.0,0.0,400.0,0.24149026968607104,mGal,0.02,OK,synthetic_demo
ST_0116,75.0,0.0,425.0,0.2589453183540292,mGal,0.02,OK,synthetic_demo
ST_0117,75.0,0.0,450.0,0.2493388805611213,mGal,0.02,OK,synthetic_demo
ST_0118,75.0,0.0,475.0,0.2081780615345003,mGal,0.02,OK,synthetic_demo
ST_0119,75.0,0.0,500.0,0.21805553248962922,mGal,0.02,OK,synthetic_demo
ST_0120,75.0,0.0,525.0,0.19910883305928995,mGal,0.02,OK,synthetic_demo
ST_0121,75.0,0.0,550.0,0.20063831755997355,mGal,0.02,OK,synthetic_demo
ST_0122,75.0,0.0,575.0,0.18154652975858793,mGal,0.02,OK,synthetic_demo
ST_0123,75.0,0.0,600.0,0.17662473756797542,mGal,0.02,OK,synthetic_demo
ST_0124,75.0,0.0,625.0,0.190395014665658,mGal,0.02,OK,synthetic_demo
ST_0125,75.0,0.0,650.0,0.16613833617326373,mGal,0.02,OK,synthetic_demo
ST_0126,75.0,0.0,675.0,0.13235902912791056,mGal,0.02,OK,synthetic_demo
ST_0127,75.0,0.0,700.0,0.12279226173477273,mGal,0.02,OK,synthetic_demo
ST_0128,75.0,0.0,725.0,0.12521681795203823,mGal,0.02,OK,synthetic_demo
ST_0129,75.0,0.0,750.0,0.1123775096640583,mGal,0.02,OK,synthetic_demo
ST_0130,75.0,0.0,775.0,0.07845478430405181,mGal,0.02,OK,synthetic_demo
ST_0131,75.0,0.0,800.0,0.0745857547953867,mGal,0.02,OK,synthetic_demo
ST_0132,100.0,0.0,0.0,0.0953769088804731,mGal,0.02,OK,synthetic_demo
ST_0133,100.0,0.0,25.0,0.09726754031207807,mGal,0.02,OK,synthetic_demo
ST_0134,100.0,0.0,50.0,0.12446212845153033,mGal,0.02,OK,synthetic_demo
ST_0135,100.0,0.0,75.0,0.12305236909582717,mGal,0.02,OK,synthetic_demo
ST_0136,100.0,0.0,100.0,0.1691444615365837,mGal,0.02,OK,synthetic_demo
ST_0137,100.0,0.0,125.0,0.16082239137127424,mGal,0.02,OK,synthetic_demo
ST_0138,100.0,0.0,150.0,0.1535982723191,mGal,0.02,OK,synthetic_demo
ST_0139,100.0,0.0,175.0,0.16790114594381716,mGal,0.02,OK,synthetic_demo
ST_0140,100.0,0.0,200.0,0.173307616724134,mGal,0.02,OK,synthetic_demo
ST_0141,100.0,0.0,225.0,0.21051822743777218,mGal,0.02,OK,synthetic_demo
ST_0142,100.0,0.0,250.0,0.21186928921078496,mGal,0.02,OK,synthetic_demo
ST_0143,100.0,0.0,275.0,0.2839073239489829,mGal,0.02,OK,synthetic_demo
ST_0144,100.0,0.0,300.0,0.250747520165834,mGal,0.02,OK,synthetic_demo
ST_0145,100.0,0.0,325.0,0.27168686504791406,mGal,0.02,OK,synthetic_demo
ST_0146,100.0,0.0,350.0,0.2917032811235135,mGal,0.02,OK,synthetic_demo
ST_0147,100.0,0.0,375.0,0.2628436902750914,mGal,0.02,OK,synthetic_demo
ST_0148,100.0,0.0,400.0,0.2854566698694327,mGal,0.02,OK,synthetic_demo
ST_0149,100.0,0.0,425.0,0.288369600673073,mGal,0.02,OK,synthetic_demo
ST_0150,100.0,0.0,450.0,0.2896801079847614,mGal,0.02,OK,synthetic_demo
ST_0151,100.0,0.0,475.0,0.24573392028088678,mGal,0.02,OK,synthetic_demo
ST_0152,100.0,0.0,500.0,0.2594165835425005,mGal,0.02,OK,synthetic_demo
ST_0153,100.0,0.0,525.0,0.22498597710168236,mGal,0.02,OK,synthetic_demo
ST_0154,100.0,0.0,550.0,0.22616513480757244,mGal,0.02,OK,synthetic_demo
ST_0155,100.0,0.0,575.0,0.22643607279968322,mGal,0.02,OK,synthetic_demo
ST_0156,100.0,0.0,600.0,0.22417818199233233,mGal,0.02,OK,synthetic_demo
ST_0157,100.0,0.0,625.0,0.16373045653961546,mGal,0.02,OK,synthetic_demo
ST_0158,100.0,0.0,650.0,0.15232724334450554,mGal,0.02,OK,synthetic_demo
ST_0159,100.0,0.0,675.0,0.16882152169693188,mGal,0.02,OK,synthetic_demo
ST_0160,100.0,0.0,700.0,0.1480938199097535,mGal,0.02,OK,synthetic_demo
ST_0161,100.0,0.0,725.0,0.10335024564548248,mGal,0.02,OK,synthetic_demo
ST_0162,100.0,0.0,750.0,0.14883173064098928,mGal,0.02,OK,synthetic_demo
ST_0163,100.0,0.0,775.0,0.1308968146390995,mGal,0.02,OK,synthetic_demo
ST_0164,100.0,0.0,800.0,0.09858660713823646,mGal,0.02,OK,synthetic_demo
ST_0165,125.0,0.0,0.0,0.0928010854752781,mGal,0.02,OK,synthetic_demo
ST_0166,125.0,0.0,25.0,0.12353595244880687,mGal,0.02,OK,synthetic_demo
ST_0167,125.0,0.0,50.0,0.1618115452430117,mGal,0.02,OK,synthetic_demo
ST_0168,125.0,0.0,75.0,0.12102838651722472,mGal,0.02,OK,synthetic_demo
ST_0169,125.0,0.0,100.0,0.15902489888777788,mGal,0.02,OK,synthetic_demo
ST_0170,125.0,0.0,125.0,0.21352822661024598,mGal,0.02,OK,synthetic_demo
ST_0171,125.0,0.0,150.0,0.19131187224489132,mGal,0.02,OK,synthetic_demo
ST_0172,125.0,0.0,175.0,0.21789815985677108,mGal,0.02,OK,synthetic_demo
ST_0173,125.0,0.0,200.0,0.25479252781848627,mGal,0.02,OK,synthetic_demo
ST_0174,125.0,0.0,225.0,0.27462580558028776,mGal,0.02,OK,synthetic_demo
ST_0175,125.0,0.0,250.0,0.25010090016053177,mGal,0.02,OK,synthetic_demo
ST_0176,125.0,0.0,275.0,0.2984885689937602,mGal,0.02,OK,synthetic_demo
ST_0177,125.0,0.0,300.0,0.3333990241968357,mGal,0.02,OK,synthetic_demo
ST_0178,125.0,0.0,325.0,0.2971433323294035,mGal,0.02,OK,synthetic_demo
ST_0179,125.0,0.0,350.0,0.308264786954395,mGal,0.02,OK,synthetic_demo
ST_0180,125.0,0.0,375.0,0.3587924150899233,mGal,0.02,OK,synthetic_demo
ST_0181,125.0,0.0,400.0,0.3175889314867921,mGal,0.02,OK,synthetic_demo
ST_0182,125.0,0.0,425.0,0.3198593681336312,mGal,0.02,OK,synthetic_demo
ST_0183,125.0,0.0,450.0,0.3156893131114238,mGal,0.02,OK,synthetic_demo
ST_0184,125.0,0.0,475.0,0.32086763329401574,mGal,0.02,OK,synthetic_demo
ST_0185,125.0,0.0,500.0,0.308158513044562,mGal,0.02,OK,synthetic_demo
ST_0186,125.0,0.0,525.0,0.2878090074904827,mGal,0.02,OK,synthetic_demo
ST_0187,125.0,0.0,550.0,0.25392842189764614,mGal,0.02,OK,synthetic_demo
ST_0188,125.0,0.0,575.0,0.22544217265852515,mGal,0.02,OK,synthetic_demo
ST_0189,125.0,0.0,600.0,0.2297702860068662,mGal,0.02,OK,synthetic_demo
ST_0190,125.0,0.0,625.0,0.19744421741950793,mGal,0.02,OK,synthetic_demo
ST_0191,125.0,0.0,650.0,0.16580614953974304,mGal,0.02,OK,synthetic_demo
ST_0192,125.0,0.0,675.0,0.17484460658541304,mGal,0.02,OK,synthetic_demo
ST_0193,125.0,0.0,700.0,0.14029953672530204,mGal,0.02,OK,synthetic_demo
ST_0194,125.0,0.0,725.0,0.15139898690128312,mGal,0.02,OK,synthetic_demo
ST_0195,125.0,0.0,750.0,0.13156110365524626,mGal,0.02,OK,synthetic_demo
ST_0196,125.0,0.0,775.0,0.095925759950268,mGal,0.02,OK,synthetic_demo
ST_0197,125.0,0.0,800.0,0.07794414983620716,mGal,0.02,OK,synthetic_demo
ST_0198,150.0,0.0,0.0,0.10127960862292948,mGal,0.02,OK,synthetic_demo
ST_0199,150.0,0.0,25.0,0.082162062439667,mGal,0.02,OK,synthetic_demo
ST_0200,150.0,0.0,50.0,0.1437552386983123,mGal,0.02,OK,synthetic_demo
ST_0201,150.0,0.0,75.0,0.13514988251779253,mGal,0.02,OK,synthetic_demo
ST_0202,150.0,0.0,100.0,0.14598390887568266,mGal,0.02,OK,synthetic_demo
ST_0203,150.0,0.0,125.0,0.20269466642386022,mGal,0.02,OK,synthetic_demo
ST_0204,150.0,0.0,150.0,0.21981473846534635,mGal,0.02,OK,synthetic_demo
ST_0205,150.0,0.0,175.0,0.2465984909736112,mGal,0.02,OK,synthetic_demo
ST_0206,150.0,0.0,200.0,0.2831002973768244,mGal,0.02,OK,synthetic_demo
ST_0207,150.0,0.0,225.0,0.28605991108390966,mGal,0.02,OK,synthetic_demo
ST_0208,150.0,0.0,250.0,0.3182142931262136,mGal,0.02,OK,synthetic_demo
ST_0209,150.0,0.0,275.0,0.34004640849819034,mGal,0.02,OK,synthetic_demo
ST_0210,150.0,0.0,300.0,0.34084037753438434,mGal,0.02,OK,synthetic_demo
ST_0211,150.0,0.0,325.0,0.38738482086450615,mGal,0.02,OK,synthetic_demo
ST_0212,150.0,0.0,350.0,0.3440172214733994,mGal,0.02,OK,synthetic_demo
ST_0213,150.0,0.0,375.0,0.38648311667316854,mGal,0.02,OK,synthetic_demo
ST_0214,150.0,0.0,400.0,0.3700902374569808,mGal,0.02,OK,synthetic_demo
ST_0215,150.0,0.0,425.0,0.3704183198221677,mGal,0.02,OK,synthetic_demo
ST_0216,150.0,0.0,450.0,0.3993912167608142,mGal,0.02,OK,synthetic_demo
ST_0217,150.0,0.0,475.0,0.3918731241029048,mGal,0.02,OK,synthetic_demo
ST_0218,150.0,0.0,500.0,0.36362179385164284,mGal,0.02,OK,synthetic_demo
ST_0219,150.0,0.0,525.0,0.3115270704037666,mGal,0.02,OK,synthetic_demo
ST_0220,150.0,0.0,550.0,0.30253024928295313,mGal,0.02,OK,synthetic_demo
ST_0221,150.0,0.0,575.0,0.29203439436259676,mGal,0.02,OK,synthetic_demo
ST_0222,150.0,0.0,600.0,0.24239121255958818,mGal,0.02,OK,synthetic_demo
ST_0223,150.0,0.0,625.0,0.19723804002070616,mGal,0.02,OK,synthetic_demo
ST_0224,150.0,0.0,650.0,0.21572649910095912,mGal,0.02,OK,synthetic_demo
ST_0225,150.0,0.0,675.0,0.20037266568442008,mGal,0.02,OK,synthetic_demo
ST_0226,150.0,0.0,700.0,0.1773490821433676,mGal,0.02,OK,synthetic_demo
ST_0227,150.0,0.0,725.0,0.17921736885556078,mGal,0.02,OK,synthetic_demo
ST_0228,150.0,0.0,750.0,0.15153953056622663,mGal,0.02,OK,synthetic_demo
ST_0229,150.0,0.0,775.0,0.11558296862584626,mGal,0.02,OK,synthetic_demo
ST_0230,150.0,0.0,800.0,0.10084699143836996,mGal,0.02,OK,synthetic_demo
ST_0231,175.0,0.0,0.0,0.1475650122248455,mGal,0.02,OK,synthetic_demo
ST_0232,175.0,0.0,25.0,0.11068211951011567,mGal,0.02,OK,synthetic_demo
ST_0233,175.0,0.0,50.0,0.1118746000959607,mGal,0.02,OK,synthetic_demo
ST_0234,175.0,0.0,75.0,0.14980397371853088,mGal,0.02,OK,synthetic_demo
ST_0235,175.0,0.0,100.0,0.19759519196189024,mGal,0.02,OK,synthetic_demo
ST_0236,175.0,0.0,125.0,0.23152766282835188,mGal,0.02,OK,synthetic_demo
ST_0237,175.0,0.0,150.0,0.23057445466751683,mGal,0.02,OK,synthetic_demo
ST_0238,175.0,0.0,175.0,0.26925945863194417,mGal,0.02,OK,synthetic_demo
ST_0239,175.0,0.0,200.0,0.28360852027781286,mGal,0.02,OK,synthetic_demo
ST_0240,175.0,0.0,225.0,0.29993051172587115,mGal,0.02,OK,synthetic_demo
ST_0241,175.0,0.0,250.0,0.3301775787034591,mGal,0.02,OK,synthetic_demo
ST_0242,175.0,0.0,275.0,0.3771771329769051,mGal,0.02,OK,synthetic_demo
ST_0243,175.0,0.0,300.0,0.4191557539365157,mGal,0.02,OK,synthetic_demo
ST_0244,175.0,0.0,325.0,0.4128831152959238,mGal,0.02,OK,synthetic_demo
ST_0245,175.0,0.0,350.0,0.42860420975523567,mGal,0.02,OK,synthetic_demo
ST_0246,175.0,0.0,375.0,0.4169085306387126,mGal,0.02,OK,synthetic_demo
ST_0247,175.0,0.0,400.0,0.5239994178983309,mGal,0.02,OK,synthetic_demo
ST_0248,175.0,0.0,425.0,0.44420670416239794,mGal,0.02,OK,synthetic_demo
ST_0249,175.0,0.0,450.0,0.45151863141829895,mGal,0.02,OK,synthetic_demo
ST_0250,175.0,0.0,475.0,0.4010657455367725,mGal,0.02,OK,synthetic_demo
ST_0251,175.0,0.0,500.0,0.39992013528912124,mGal,0.02,OK,synthetic_demo
ST_0252,175.0,0.0,525.0,0.378596555744341,mGal,0.02,OK,synthetic_demo
ST_0253,175.0,0.0,550.0,0.3272968203925236,mGal,0.02,OK,synthetic_demo
ST_0254,175.0,0.0,575.0,0.34291534990745276,mGal,0.02,OK,synthetic_demo
ST_0255,175.0,0.0,600.0,0.31633561163562535,mGal,0.02,OK,synthetic_demo
ST_0256,175.0,0.0,625.0,0.23098157035308764,mGal,0.02,OK,synthetic_demo
ST_0257,175.0,0.0,650.0,0.22856007162471073,mGal,0.02,OK,synthetic_demo
ST_0258,175.0,0.0,675.0,0.21016152338745112,mGal,0.02,OK,synthetic_demo
ST_0259,175.0,0.0,700.0,0.19770001893942382,mGal,0.02,OK,synthetic_demo
ST_0260,175.0,0.0,725.0,0.15207898084333205,mGal,0.02,OK,synthetic_demo
ST_0261,175.0,0.0,750.0,0.14609473150152097,mGal,0.02,OK,synthetic_demo
ST_0262,175.0,0.0,775.0,0.1525294332633028,mGal,0.02,OK,synthetic_demo
ST_0263,175.0,0.0,800.0,0.08893364178703957,mGal,0.02,OK,synthetic_demo
ST_0264,200.0,0.0,0.0,0.16426285867899407,mGal,0.02,OK,synthetic_demo
ST_0265,200.0,0.0,25.0,0.1369637117390523,mGal,0.02,OK,synthetic_demo
ST_0266,200.0,0.0,50.0,0.16397177664841925,mGal,0.02,OK,synthetic_demo
ST_0267,200.0,0.0,75.0,0.18643126989384234,mGal,0.02,OK,synthetic_demo
ST_0268,200.0,0.0,100.0,0.25247095829248695,mGal,0.02,OK,synthetic_demo
ST_0269,200.0,0.0,125.0,0.2401651739069627,mGal,0.02,OK,synthetic_demo
ST_0270,200.0,0.0,150.0,0.2726792854822008,mGal,0.02,OK,synthetic_demo
ST_0271,200.0,0.0,175.0,0.30216672574646825,mGal,0.02,OK,synthetic_demo
ST_0272,200.0,0.0,200.0,0.34186932422156685,mGal,0.02,OK,synthetic_demo
ST_0273,200.0,0.0,225.0,0.3426797328520502,mGal,0.02,OK,synthetic_demo
ST_0274,200.0,0.0,250.0,0.4060534216152901,mGal,0.02,OK,synthetic_demo
ST_0275,200.0,0.0,275.0,0.45348938016594953,mGal,0.02,OK,synthetic_demo
ST_0276,200.0,0.0,300.0,0.4533141470214875,mGal,0.02,OK,synthetic_demo
ST_0277,200.0,0.0,325.0,0.4716980245269978,mGal,0.02,OK,synthetic_demo
ST_0278,200.0,0.0,350.0,0.5073835224990345,mGal,0.02,OK,synthetic_demo
ST_0279,200.0,0.0,375.0,0.5047608921178751,mGal,0.02,OK,synthetic_demo
ST_0280,200.0,0.0,400.0,0.5162082898820488,mGal,0.02,OK,synthetic_demo
ST_0281,200.0,0.0,425.0,0.49870070548823703,mGal,0.02,OK,synthetic_demo
ST_0282,200.0,0.0,450.0,0.4765672360307223,mGal,0.02,OK,synthetic_demo
ST_0283,200.0,0.0,475.0,0.4614510189252584,mGal,0.02,OK,synthetic_demo
